,,,,,,,,,1,2,3,4,5,6,
SiteName,Date_photos,Depth_m,Processor,ImageID,ImageWidth_cm,ImageLength_cm,AreaPerPt,TotalPts,Allcanopy,Allunderstory,Hardbottom,Sand,Biological,Other,Total
Bordelais Island,9/1/2022,3.4,CMA,P7051559,52.16,39.12,420,6,,3,3,,,,6
Bordelais Island,9/1/2022,3.4,CMA,P7051559,52.16,39.12,320,9,,2,6,,1,,9
Bordelais Island,9/1/2022,3.4,CMA,P7051559,52.16,39.12,240,12,,2,6,,2,2,12
Bordelais Island,9/1/2022,3.4,CMA,P7051559,52.16,39.12,120,20,,5,14,,1,,20
Bordelais Island,9/1/2022,3.4,CMA,P7051559,52.16,39.12,80,30,,6,23,,1,,30
Bordelais Island,9/1/2022,3.4,CMA,P7051559,52.16,39.12,55,42,,8,28,1,3,2,42
Bordelais Island,9/1/2022,3.4,CMA,P7051559,52.16,39.12,40,48,,8,36,2,2,,48
Bordelais Island,9/1/2022,3.4,CMA,P7051559,52.16,39.12,38,63,,12,42,,6,2,62
Bordelais Island,9/1/2022,3.4,CMA,P7051559,52.16,39.12,32,70,,16,44,3,5,2,70
Bordelais Island,9/1/2022,3.4,CMA,P7051559,52.16,39.12,28,80,,15,52,3,7,3,80
Bordelais Island,9/1/2022,3.4,CMA,P7051559,52.16,39.12,25,88,,16,61,2,7,2,88
Bordelais Island,9/1/2022,3.4,CMA,P7051559,52.16,39.12,22,99,,20,68,2,6,3,99
Danvers Danger Rock,8/6/2022,3.6,CMA,P8062323,41.03,30.77,300,6,,,6,,,,6
Danvers Danger Rock,8/6/2022,3.6,CMA,P8062323,41.03,30.77,190,9,,,6,,2,1,9
Danvers Danger Rock,8/6/2022,3.6,CMA,P8062323,41.03,30.77,150,12,,,10,,1,1,12
Danvers Danger Rock,8/6/2022,3.6,CMA,P8062323,41.03,30.77,90,20,,,13,,5,2,20
Danvers Danger Rock,8/6/2022,3.6,CMA,P8062323,41.03,30.77,52,30,,,24,,5,1,30
Danvers Danger Rock,8/6/2022,3.6,CMA,P8062323,41.03,30.77,35,42,,1,31,,8,2,42
Danvers Danger Rock,8/6/2022,3.6,CMA,P8062323,41.03,30.77,30,48,,1,36,,10,1,48
Danvers Danger Rock,8/6/2022,3.6,CMA,P8062323,41.03,30.77,24,63,,,46,,14,3,63
Danvers Danger Rock,8/6/2022,3.6,CMA,P8062323,41.03,30.77,18,80,,2,60,,14,4,80
Danvers Danger Rock,8/6/2022,3.6,CMA,P8062323,41.03,30.77,16,88,,1,68,,14,5,88
