"SiteName","Species","common_name","Method","abundance"
"Between Scotts and Bradys","Acmaea mitra","Whitecap limpet","2",5
"Between Scotts and Bradys","Apostichopus californicus","California sea cucumber","2",43
"Between Scotts and Bradys","Artedius harringtoni","Scalyhead sculpin","2",4
"Between Scotts and Bradys","Artedius lateralis","Smoothhead sculpin","2",1
"Between Scotts and Bradys","Aulorhynchus flavidus","Tube-snout","1",180
"Between Scotts and Bradys","Brachyistius frenatus","Kelp perch","1",4
"Between Scotts and Bradys","Ceratostoma foliatum","Leafy hornmouth","2",6
"Between Scotts and Bradys","Crassadoma gigantea","Purple-hinged rock scallop","2",7
"Between Scotts and Bradys","Dermasterias imbricata","Leather star","2",7
"Between Scotts and Bradys","Diodora aspera","Rough keyhole limpet","2",5
"Between Scotts and Bradys","Embiotoca lateralis","Striped seaperch","1",8
"Between Scotts and Bradys","Evasterias troschelii","Mottled starfish","2",9
"Between Scotts and Bradys","Haliotis kamtschatkana","Pinto abalone","2",42
"Between Scotts and Bradys","Henricia spp.","Unidentified blood star","2",1
"Between Scotts and Bradys","Hexagrammos decagrammus","Kelp greenling","1",10
"Between Scotts and Bradys","Mesocentrotus franciscanus","Red sea urchin","2",298
"Between Scotts and Bradys","Oxylebius pictus","Painted greenling","1",6
"Between Scotts and Bradys","Paguroidea spp.","Unidentified hermit crab","2",4
"Between Scotts and Bradys","Patiria miniata","Bat star","2",75
"Between Scotts and Bradys","Pisaster ochraceus","Purple sea star","2",13
"Between Scotts and Bradys","Pomaulax gibberosus","Red turban snail","2",3
"Between Scotts and Bradys","Pugettia producta","Northern kelp crab","2",3
"Between Scotts and Bradys","Rhacochilus vacca","Pile perch","1",11
"Between Scotts and Bradys","Rhinogobiops nicholsii","Blackeye goby","1",3
"Between Scotts and Bradys","Rhinogobiops nicholsii","Blackeye goby","2",6
"Between Scotts and Bradys","Sebastes caurinus","Copper rockfish","1",8
"Between Scotts and Bradys","Sebastes flavidus","Yellowtail rockfish","1",8
"Between Scotts and Bradys","Sebastes melanops","Black rockfish","1",22
"Between Scotts and Bradys","Strongylocentrotus purpuratus","Purple sea urchin","2",26
"Bordelais Island","Acmaea mitra","Whitecap limpet","2",33
"Bordelais Island","Artedius harringtoni","Scalyhead sculpin","2",27
"Bordelais Island","Artedius lateralis","Smoothhead sculpin","2",1
"Bordelais Island","Cancer productus","Red rock crab","2",1
"Bordelais Island","Ceratostoma foliatum","Leafy hornmouth","2",5
"Bordelais Island","Cryptochiton stelleri","Gumboot chiton","2",1
"Bordelais Island","Dermasterias imbricata","Leather star","2",34
"Bordelais Island","Diodora aspera","Rough keyhole limpet","2",21
"Bordelais Island","Embiotoca lateralis","Striped seaperch","1",30
"Bordelais Island","Evasterias troschelii","Mottled starfish","2",3
"Bordelais Island","Haliotis kamtschatkana","Pinto abalone","2",4
"Bordelais Island","Henricia pumila","Dwarf mottled henricia","2",1
"Bordelais Island","Hexagrammos decagrammus","Kelp greenling","1",21
"Bordelais Island","Jordania zonope","Longfin sculpin","2",7
"Bordelais Island","Lophopanopeus bellus","Black-clawed crab","2",2
"Bordelais Island","Mesocentrotus franciscanus","Red sea urchin","2",74
"Bordelais Island","Oregonia gracilis","Graceful decorator crab","2",13
"Bordelais Island","Orthasterias koehleri","Rainbow star","2",9
"Bordelais Island","Paguroidea spp.","Unidentified hermit crab","2",48
