ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400
,,,,,,,,,,12:00,,,"0, 1, 2","0, 1, 2",,2,3,5202,3567,1,2,3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80,100,120,140,160
1,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,1,1,Beroidae ,Beroidae ,Unidentified comb jelly,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,0,1,sca,Sebastes caurinus,Copper rockfish,2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
3,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,rni,Rhinogobiops nicholsii,Blackeye goby,36,0,7,21,8,,,,,,,,,,,,,,,,,,,,,,,,,
4,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,dim,Dermasterias imbricata,Leather star,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,henricia,Henricia spp.,Unidentified blood star,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,pgi,Pomaulax gibberosus,Red turban shell,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,phe,Pycnopodia helianthoides,Sunflower star,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,mfra,Mesocentrotus franciscanus,Red sea urchin,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,oko,Orthasterias koehleri,Rainbow star,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
