site_name,site_code,sitetype,size_class,total,year,month,visibility,depth,method,block,species_name,common_name,latitude,longitude,Project
Ross Islets Slug Island,KCCA1,Kelp,7.5,1,2022,7,5,3.4,1,2,Hexagrammos decagrammus,Kelp greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,3,2022,7,5,3.4,1,2,Hexagrammos decagrammus,Kelp greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,12.5,4,2022,7,5,3.4,1,2,Hexagrammos decagrammus,Kelp greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,15,7,2022,7,5,3.4,1,2,Hexagrammos decagrammus,Kelp greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,5,8,2022,7,5,3.4,1,2,Sebastes caurinus,Copper rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,7.5,6,2022,7,5,3.4,1,2,Sebastes caurinus,Copper rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,4,2022,7,5,3.4,1,2,Sebastes caurinus,Copper rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,12.5,3,2022,7,5,3.4,1,2,Sebastes caurinus,Copper rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,15,2,2022,7,5,3.4,1,2,Sebastes caurinus,Copper rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,7.5,7,2022,7,5,3.4,1,2,Rhacochilus vacca,Pile perch,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,9,2022,7,5,3.4,1,2,Rhacochilus vacca,Pile perch,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,12.5,6,2022,7,5,3.4,1,2,Rhacochilus vacca,Pile perch,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,15,6,2022,7,5,3.4,1,2,Rhacochilus vacca,Pile perch,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,7.5,5,2022,7,5,3.4,1,2,Sebastes melanops,Black rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,23,2022,7,5,3.4,1,2,Sebastes melanops,Black rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,12.5,12,2022,7,5,3.4,1,2,Sebastes melanops,Black rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,7.5,1,2022,7,5,3.4,1,2,Oxylebius pictus,Painted greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,1,2022,7,5,3.4,1,2,Oxylebius pictus,Painted greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,7.5,20,2022,7,5,3.4,1,2,Sebastes flavidus,Yellowtail rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,20,2022,7,5,3.4,1,2,Sebastes flavidus,Yellowtail rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,2.5,5,2022,7,5,3.4,2,2,Rhinogobiops nicholsii,Blackeye goby,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,5,30,2022,7,5,3.4,2,2,Rhinogobiops nicholsii,Blackeye goby,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,7.5,15,2022,7,5,3.4,2,2,Rhinogobiops nicholsii,Blackeye goby,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,2,2022,7,5,3.4,2,2,Rhinogobiops nicholsii,Blackeye goby,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,7.5,1,2022,7,5,3.4,1,1,Sebastes melanops,Black rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,15,2022,7,5,3.4,1,1,Sebastes melanops,Black rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,12.5,3,2022,7,5,3.4,1,1,Sebastes melanops,Black rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,7.5,2,2022,7,5,3.4,1,1,Oxylebius pictus,Painted greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,3,2022,7,5,3.4,1,1,Oxylebius pictus,Painted greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,12.5,1,2022,7,5,3.4,1,1,Oxylebius pictus,Painted greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,5,2,2022,7,5,3.4,1,1,Rhinogobiops nicholsii,Blackeye goby,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,7.5,4,2022,7,5,3.4,1,1,Rhinogobiops nicholsii,Blackeye goby,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,11,2022,7,5,3.4,1,1,Rhinogobiops nicholsii,Blackeye goby,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,12.5,10,2022,7,5,3.4,1,1,Rhinogobiops nicholsii,Blackeye goby,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,5,4,2022,7,5,3.4,1,1,Sebastes spp.,Unidentified rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,7.5,1,2022,7,5,3.4,1,1,Sebastes spp.,Unidentified rockfish,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,1,2022,7,5,3.4,1,1,Hexagrammos decagrammus,Kelp greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,12.5,1,2022,7,5,3.4,1,1,Hexagrammos decagrammus,Kelp greenling,48.87051773,-125.160347,RLSsfu
