"site_name","site_code","sitetype","size_class","total","year","month","visibility","depth","method","block","species_name","common_name","latitude","longitude","Project"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",173,"2022","07",5,3.4,2,2,"Mesocentrotus franciscanus","Red sea urchin",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",84,"2022","07",5,3.4,2,2,"Patiria miniata","Bat star",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","2.5",4,"2022","07",5,3.4,2,2,"Haliotis kamtschatkana","Pinto abalone",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","5",8,"2022","07",5,3.4,2,2,"Haliotis kamtschatkana","Pinto abalone",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","7.5",4,"2022","07",5,3.4,2,2,"Haliotis kamtschatkana","Pinto abalone",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",5,"2022","07",5,3.4,2,2,"Acmaea mitra","Whitecap limpet",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",24,"2022","07",5,3.4,2,2,"Orthasterias koehleri","Rainbow star",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",2,"2022","07",5,3.4,2,2,"Diodora aspera","Rough keyhole limpet",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",17,"2022","07",5,3.4,2,2,"Dermasterias imbricata","Leather star",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",1,"2022","07",5,3.4,2,2,"Acanthodoris hudsoni","Hudson's horned dorid",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",29,"2022","07",5,3.4,2,2,"Apostichopus californicus","California sea cucumber",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",1,"2022","07",5,3.4,2,2,"Henricia pumila","Dwarf mottled henricia",48.87051773,-125.160347,"RLSsfu"
