"site_name","directions","quadrant","fetch"
"Between Scotts and Bradys",0,"North",60.6900460480126
"Between Scotts and Bradys",10,"North",47.1612562355426
"Between Scotts and Bradys",20,"North",41.4506787485074
"Between Scotts and Bradys",30,"North",39.5948440057853
"Between Scotts and Bradys",40,"North",39.0332212336167
"Between Scotts and Bradys",50,"East",39.6759797564256
"Between Scotts and Bradys",60,"East",42.5359952855228
"Between Scotts and Bradys",70,"East",49.8387624862773
"Between Scotts and Bradys",80,"East",59.6164097651783
"Between Scotts and Bradys",90,"East",56.62562642782
"Between Scotts and Bradys",100,"East",51.3819408501514
"Between Scotts and Bradys",110,"East",47.8413889868755
"Between Scotts and Bradys",120,"East",42.1638357467029
"Between Scotts and Bradys",130,"East",26.6942141666164
"Between Scotts and Bradys",140,"South",19.1214120434412
"Between Scotts and Bradys",150,"South",14.0369508932407
"Between Scotts and Bradys",160,"South",11.0799020310986
"Between Scotts and Bradys",170,"South",8.60276326806727
"Between Scotts and Bradys",180,"South",7.20991847243207
"Between Scotts and Bradys",190,"South",6.37188178868088
"Between Scotts and Bradys",200,"South",5.86809979865698
"Between Scotts and Bradys",210,"South",5.59571188720663
"Between Scotts and Bradys",220,"South",5.50740703109608
"Between Scotts and Bradys",230,"West",5.58902796864849
"Between Scotts and Bradys",240,"West",5.85364061099602
"Between Scotts and Bradys",250,"West",6.34699060297702
"Between Scotts and Bradys",260,"West",7.16904070069466
"Between Scotts and Bradys",270,"West",8.53356183995493
"Between Scotts and Bradys",280,"West",14.6524068808115
"Between Scotts and Bradys",290,"West",2771.95726494559
"Between Scotts and Bradys",300,"West",2914.22668820103
"Between Scotts and Bradys",310,"West",2873.42887951293
"Between Scotts and Bradys",320,"North",2055.83927175361
"Between Scotts and Bradys",330,"North",2005.04881235265
"Between Scotts and Bradys",340,"North",3815.70813591522
"Between Scotts and Bradys",350,"North",4520.67941291878
"Bordelais Island",0,"North",11470.4529894379
"Bordelais Island",10,"North",16425.9628424309
"Bordelais Island",20,"North",16110.3186451825
"Bordelais Island",30,"North",735.350255606082
"Bordelais Island",40,"North",569.929493239638
"Bordelais Island",50,"East",619.41378112622
"Bordelais Island",60,"East",619.327098655079
