SiteName,Date,Depth_m,Depth_datum_m,Transect,Species,Sampled,Height_m,Biomass_g,Sub_circ_cm,comments
Flemming 114,28-05-2023,7.4,5.522477,0,Macro,n1,6.34,570,NA,
Flemming 114,28-05-2023,7.4,5.522477,5,Macro,n1,4.66,1000,NA,
Flemming 114,28-05-2023,7.4,5.522477,5,Macro,n2,4.43,920,NA,
Flemming 114,28-05-2023,7.4,5.522477,5,Macro,n3,1.82,260,NA,2 partial pieces for n4 and n5 not measured
Flemming 114,28-05-2023,7.4,5.522477,10,Macro,n1,5.35,190,NA,
Flemming 114,28-05-2023,7.4,5.522477,10,Macro,n2,5.37,700,NA,
Flemming 114,28-05-2023,7.4,5.522477,15,Macro,n1,NA,1950,NA,
Flemming 114,28-05-2023,7.4,5.522477,15,Macro,n2,NA,1224,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,0,Macro,n1,NA,NA,NA,"majority of the blades from this site are close to the AP bare near the HF, VERY mucusy"
Dixon Bay 2,29-05-2023,5.2,2.637791,5,Macro ,n1,1.77,450,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,5,Macro ,n2,1.89,370,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,5,Macro ,n3,5.48,970,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,5,Macro ,n4,0.79,110,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,5,Macro ,n5,0.49,60,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,10,Macro ,n1,6.83,1090,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,10,Macro ,n2,5.88,3060,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,15,Macro ,n1,2.83,980,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,15,Macro ,n2,2.23,680,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,15,Macro ,n3,1.4,230,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,15,Macro ,n4,1.13,570,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,15,Macro ,n5,0.27,30,NA,
Nanat Bay,30-05-2023,3.5,0.943739,0,Macro ,n1,4.69,2960,NA,
Nanat Bay,30-05-2023,3.5,0.943739,0,Macro ,n2,1.69,1330,NA,
Nanat Bay,30-05-2023,3.5,0.943739,5,Macro ,n1,2.93,900,NA,
Nanat Bay,30-05-2023,3.5,0.943739,5,Macro ,n2,3.66,1120,NA,
Nanat Bay,30-05-2023,3.5,0.943739,5,Macro ,n3,0.59,290,NA,
Nanat Bay,30-05-2023,3.5,0.943739,5,Macro ,n4,1.56,1060,NA,
Nanat Bay,30-05-2023,3.5,0.943739,5,Macro ,n5,0.29,230,NA,
