"SiteName","Transect","HeightT","BiomassTind","Surveyor","Date","Time_start","Depth_m","Depth_datum_m","RLS_dist","Macro_5m2","Nereo_5m2","Macro","Nereo","Kelp","BiomassTind_kg","BiomassTkg"
"Between Scotts and Bradys",0,1.286,751.2,"BM","7/5/2022","11:26",2.7,1.42,15,26,0,5.2,0,5.2,0.7512,3.90624
"Between Scotts and Bradys",5,0.948,245.2,"AB","7/5/2022","11:26",2.7,1.42,20,19,0,3.8,0,3.8,0.2452,0.93176
"Between Scotts and Bradys",10,1.336,266,"BM","7/5/2022","11:26",2.7,1.42,25,23,0,4.6,0,4.6,0.266,1.2236
"Between Scotts and Bradys",15,1.698,281.2,"AB","7/5/2022","11:26",2.7,1.42,30,22,0,4.4,0,4.4,0.2812,1.23728
"Bordelais Island",0,3.546,616.542667823449,"BM","9/1/2022","12:34",3.5,1.61,5,0,9,0,1.8,1.8,0.616542667823449,1.10977680208221
"Bordelais Island",5,6.13,1231.610702344,"KDC","9/1/2022","12:34",3.5,1.61,10,0,7,0,1.4,1.4,1.231610702344,1.7242549832816
"Bordelais Island",10,2.53,1165.5906032187,"BM","9/1/2022","12:34",3.5,1.61,15,0,3,0,0.6,0.6,1.1655906032187,0.699354361931222
"Bordelais Island",15,5.04,1336.32431946741,"KDC","9/1/2022","12:34",3.5,1.61,20,0,15,0,3,3,1.33632431946741,4.00897295840223
"Cable Beach (Blow Hole)",0,1.99,652.562855948093,"KDC","8/7/2022","12:27",3,0.87,5,0,11,0,2.2,2.2,0.652562855948093,1.43563828308581
"Cable Beach (Blow Hole)",5,2.056,926.451547497621,"CMA","8/7/2022","12:27",3,0.87,10,0,17,0,3.4,3.4,0.926451547497621,3.14993526149191
"Cable Beach (Blow Hole)",10,2.172,792.973353525324,"KDC","8/7/2022","12:27",3,0.87,15,0,9,0,1.8,1.8,0.792973353525324,1.42735203634558
"Cable Beach (Blow Hole)",15,2.046,936.396103701601,"CMA","8/7/2022","12:27",3,0.87,20,0,20,0,4,4,0.936396103701601,3.7455844148064
"Danvers Danger Rock",0,0.708,125.6,"AB","8/6/2022","12:32",3,1.21,5,7,0,1.4,0,1.4,0.1256,0.17584
"Danvers Danger Rock",5,1.18,310.4,"KDC","8/6/2022","12:32",3,1.21,10,28,0,5.6,0,5.6,0.3104,1.73824
"Danvers Danger Rock",10,0.866,125.2,"AB","8/6/2022","12:32",3,1.21,15,7,0,1.4,0,1.4,0.1252,0.17528
"Danvers Danger Rock",15,1.876,423.6,"KDC","8/6/2022","12:32",3,1.21,20,18,0,3.6,0,3.6,0.4236,1.52496
"Dixon Island Back (Bay)",0,1.884,1238.8,"CMA","7/26/2022","10:45",3.5,1.18,30,7,0,1.4,0,1.4,1.2388,1.73432
"Dixon Island Back (Bay)",5,1.058,543.6,"AB","7/26/2022","10:45",3.5,1.18,35,6,0,1.2,0,1.2,0.5436,0.65232
"Dixon Island Back (Bay)",10,1.1325,670.5,"CMA","7/26/2022","10:45",3.5,1.18,40,9,0,1.8,0,1.8,0.6705,1.2069
"Dixon Island Back (Bay)",15,0.66,586,"AB","7/26/2022","10:45",3.5,1.18,45,2,0,0.4,0,0.4,0.586,0.2344
"Dodger Channel 1",0,0.9,222,"BM","7/6/2022","12:11",3,1.69,12.5,12,0,2.4,0,2.4,0.222,0.5328
"Dodger Channel 1",5,1.72,338.8,"AB","7/6/2022","12:11",3,1.69,17.5,14,0,2.8,0,2.8,0.3388,0.94864
