"SiteName","Tempave","SD_Tempave","Tempmin","Tempmax","ID","Depth_logger_m","Depth_logger_datum_m"
"Between Scotts and Bradys",13.4916965352449,0.55723550891986,11.4677419354839,17.0354838709677,"L04",3,0.9
"Bordelais Island",13.2064740143369,0.4021619630888,11.4483870967742,15.5161290322581,"L05",4,1.45
"Cable Beach (Blow Hole)",12.9762246117085,0.486879676797666,11.2193548387097,16.1161290322581,"L16",4.3,2.13
"Danvers Danger Rock",13.3851207617517,0.522297972224502,11.2354838709677,16.9612903225806,"L27",2.5,1.78
"Dixon Island Back (Bay)",12.9126418757467,0.481947296918701,11.3870967741935,15.6677419354839,"L25",2.7,1.48
"Dodger Channel 1",13.0824746117085,0.368533641052143,11.0258064516129,15.8548387096774,"L15",4,1.7
"Dodger Channel 2",12.1573476702509,0.479567915763894,10.6741935483871,14.4774193548387,"L20",5.8,3.6
"Ed King East Inside",13.0152852449223,0.491496602568306,10.9612903225806,15.7,"L17",4.9,2.27
"Flemming 112",12.7049283154122,0.516195199348469,11.2677419354839,15.5064516129032,"L13",4.5,3.4
"Flemming 114",13.9766129032258,0.51148577349454,11.7451612903226,17.7064516129032,"L12",4.5,2.6
"Nanat Bay",11.9120743727599,0.570056071139139,10.7645161290323,13.6129032258065,"L03",7.4,5.1
"North Helby Rock",12.8771206690562,0.612525145455324,11.158064516129,16.7258064516129,"L08",5.8,4
"Ross Islet 2",13.9173013739546,0.520570509707855,11.2387096774194,17.5258064516129,"L06",4.2,1.51
"Ross Islet Slug Island",13.6885827359618,0.550878118020789,11.4806451612903,17.4354838709677,"L18",5.1,2.46
"Second Beach",12.3903673835125,0.450331329487458,10.8193548387097,14.9903225806452,"L23",5.8,3.73
"Second Beach South",11.6770908004779,0.480258538902221,10.2967741935484,13.0548387096774,"L21",7.9,5.96
"Swiss Boy",16.4059391512397,1.22185898495994,13.8354838709677,18.6096774193548,"L28",3,0.8
"Taylor Rock",13.7837365591398,0.415356092026837,11.2483870967742,16.5032258064516,"L19",4,1.5
"Turf Island 2",14.8382989844683,0.724892560682221,11.5258064516129,18.5354838709677,"L09",2.5,1.2
"Tzartus 116",13.1112977897252,0.580315075802225,11.2096774193548,16.7870967741935,"L02",5.9,3.8
"Wizard Islet South",12.6320489844683,0.613899039654051,10.8709677419355,16.0258064516129,"L07",5,3.2
